baujahr,stadt,Bevölkerung,DistanzSaarbrücken,DistanzThionville,DistanzMetz,DistanzLuxemburg,kaufpreis,fläche_m2,schlafzimmer,badezimmer,parkplätze,garten,Haus,Wohnung
2020,CONTZ-LES-BAINS,497,73,19,47,38,300000,115.0,4,1,1,1,1,0
2020,MONDORFF,555,75,21,52,27,300000,115.0,4,1,1,1,1,0
2020,THIONVILLE,40665,94,0,30,36,280000,134.0,3,2,1,1,1,0
2020,THIONVILLE,40665,94,0,30,36,254000,119.0,3,2,1,1,1,0
2020,THIONVILLE,40665,94,0,30,36,310000,124.0,4,1,1,1,1,0
2020,THIONVILLE,40665,94,0,30,36,300000,115.0,4,1,1,1,1,0
2020,THIONVILLE,40665,94,0,30,36,254000,119.0,3,2,1,1,1,0
2020,ARS-SUR-MOSELLE,4720,79,38,11,72,225000,100.0,3,1,1,1,1,0
2020,METZ,117492,70,28,0,62,225000,100.0,3,1,1,1,1,0
2020,METZ,117492,70,28,0,62,215000,90.0,3,1,1,1,1,0
2020,ARS-SUR-MOSELLE,4720,79,38,11,72,215000,90.0,3,1,1,1,1,0
2020,COSNES-ET-ROMAIN,2652,123,47,68,43,460000,140.0,3,1,3,1,1,0
2020,THIONVILLE,40665,94,0,30,36,254000,119.0,3,2,1,1,1,0
2020,SAINT-AVOLD,15748,31,68,44,102,179000,96.0,3,1,1,1,1,0
2020,THIONVILLE,40665,94,0,30,36,300000,115.0,4,1,1,1,1,0
2020,THIONVILLE,40665,94,0,30,36,280000,134.0,3,2,1,1,1,0
2020,THIONVILLE,40665,94,0,30,36,300000,115.0,4,1,1,1,1,0
2020,SIERCK-LES-BAINS,1712,71,19,46,40,280000,134.0,3,2,1,1,1,0
2020,THIONVILLE,40665,94,0,30,36,280000,134.0,3,2,1,1,1,0
2020,SIERCK-LES-BAINS,1712,71,19,46,40,254000,119.0,3,2,1,1,1,0
2020,THIONVILLE,40665,94,0,30,36,389000,112.46,3,1,4,1,1,0
2020,THIONVILLE,40665,94,0,30,36,379000,118.54,3,1,1,1,1,0
2020,THIONVILLE,40665,94,0,30,36,379000,118.54,3,1,1,1,1,0
2020,THIONVILLE,40665,94,0,30,36,379000,118.54,3,1,1,1,1,0
2020,THIONVILLE,40665,94,0,30,36,435000,137.49,3,1,2,1,1,0
2020,MANOM,2641,95,2,31,39,309000,97.01,3,1,1,0,0,1
2020,MANOM,2641,95,2,31,39,247000,73.13,2,1,1,0,0,1
2020,MANOM,2641,95,2,31,39,244000,73.13,2,1,1,0,0,1
2020,THIONVILLE,40665,94,0,30,36,254000,119.0,3,2,1,1,1,0
2020,SIERCK-LES-BAINS,1712,71,19,46,40,280000,134.0,3,2,1,1,1,0
2020,METZ,117492,70,28,0,62,159000,91.0,3,1,1,1,0,0
2020,BOULAY-MOSELLE,5621,52,52,29,86,159000,91.0,3,1,1,1,0,0
2020,LONGLAVILLE,2494,116,43,65,36,134120,47.9,1,1,1,0,0,1
2020,LONGLAVILLE,2494,116,43,65,36,297640,106.3,3,1,1,0,0,0
2020,LONGLAVILLE,2494,116,43,65,36,299040,106.9,3,1,1,0,0,0
2020,LONGLAVILLE,2494,116,43,65,36,165200,59.0,1,1,1,0,0,0
2020,LONGLAVILLE,2494,116,43,65,36,134120,47.9,1,1,1,0,0,1
2020,LONGLAVILLE,2494,116,43,65,36,187600,67.0,2,1,1,0,0,1
2020,LONGLAVILLE,2494,116,43,65,36,185080,66.1,2,1,1,0,0,1
2020,LONGLAVILLE,2494,116,43,65,36,192920,68.9,2,1,1,0,0,1
2020,LONGLAVILLE,2494,116,43,65,36,135800,48.5,1,1,1,0,0,1
2020,LONGLAVILLE,2494,116,43,65,36,187600,67.0,2,1,1,0,0,1
2020,LONGLAVILLE,2494,116,43,65,36,185080,66.1,2,1,1,0,0,1
2020,LONGLAVILLE,2494,116,43,65,36,192920,68.9,2,1,1,0,0,1
2020,LONGLAVILLE,2494,116,43,65,36,135520,48.0,1,1,1,0,0,1
2020,THIONVILLE,40665,94,0,30,36,300000,115.0,4,1,1,1,1,0
2020,HERSERANGE,4361,118,41,63,37,186000,91.0,3,1,1,1,0,0
