kaufpreis,baujahr,Wohnung,Haus,fläche_m2,schlafzimmer,badezimmer,parkplätze,garten,stadt,Bevölkerung,Deutschland,Belgien,Luxemburg,Frankreich
529000,1990,1,0,65.72,2,1,1,0,SCHIFFLANGE,10300,0,0,1,0
1895000,1990,1,0,250.0,4,2,1,0,LEUDELANGE,1851,0,0,1,0
280000,1990,1,0,36.0,1,1,1,0,LAROCHETTE,2200,0,0,1,0
975000,1990,0,1,108.0,3,1,4,1,MONDORF-LES-BAINS,5359,0,0,1,0
1850000,1990,0,1,379.0,6,2,3,1,SCHUTTRANGE,3258,0,0,1,0
435000,1990,1,0,60.0,1,1,1,1,DUDELANGE,20400,0,0,1,0
735000,1990,0,1,135.0,3,1,3,1,ETTELBRÜCK,8833,0,0,1,0
1995000,1990,0,1,275.0,5,2,3,1,LUXEMBOURG-DOMMELDANGE,2671,0,0,1,0
2400000,1990,0,1,225.0,4,1,6,1,ALZINGEN,1695,0,0,1,0
1295000,1990,0,1,200.0,3,2,3,0,MONDORF-LES-BAINS,5359,0,0,1,0
869000,1990,0,1,160.0,4,1,3,1,BE,13357,0,0,1,0
880000,1990,0,1,120.0,3,1,5,1,GOSSELDANGE,644,0,0,1,0
1650000,1990,0,1,180.0,4,1,1,1,SCHOUWEILER,1071,0,0,1,0
875000,1990,1,0,160.0,2,2,3,0,STADTBREDIMUS,1947,0,0,1,0
1195000,1990,0,1,204.0,3,1,6,1,RIPPWEILER,210,0,0,1,0
800000,1991,1,0,138.0,2,2,3,0,MONDERCANGE,7007,0,0,1,0
510000,1991,1,0,81.55,2,1,1,0,DIFFERDANGE,25400,0,0,1,0
2100000,1991,0,1,233.0,5,1,2,0,LORENTZWEILER,2973,0,0,1,0
695000,1991,1,0,200.0,4,2,2,0,DIFFERDANGE,25400,0,0,1,0
400000,1991,1,0,50.0,1,1,1,0,PÉTANGE,18200,0,0,1,0
870000,1991,0,1,200.0,4,1,2,1,BISSEN,3216,0,0,1,0
